341 251 -1 (0, -1) (0, -1) 0 0
341 292 -1 (0, -1) (0, -1) 0 0
341 341 -1 (0, -1) (0, -1) 0 0
341 398 -1 (0, 0) (0, 0) 0 0
341 464 1 (1, 0) (0, 0) 0 0
341 541 1 (1, 0) (0, 0) 0 0
341 630 1 (1, 0) (0, 0) 0 0
341 735 1 (1, 0) (0, 0) 0 0
341 857 1 (1, 0) (0, 0) 0 0
341 1000 1 (1, 0) (0, 0) 0 0
341 1165 -1 (0, 0) (0, 0) 0 0
341 1359 -1 (0, 0) (0, 0) 0 0
341 1584 -1 (0, 0) (0, 0) 0 0
341 1847 -1 (0, 0) (0, 0) 0 0
341 2154 -1 (0, 0) (0, 0) 0 0
341 2511 -1 (0, 0) (0, 0) 0 0
341 2928 -1 (0, 0) (0, 0) 0 0
341 3414 -1 (0, 0) (0, 0) 0 0
341 3981 -1 (0, 0) (0, 0) 0 0
341 4641 -1 (0, 0) (0, 0) 0 0
341 5411 -1 (0, 0) (0, 0) 0 0
341 6309 -1 (0, 0) (0, 0) 0 0
341 7356 -1 (0, 0) (0, 0) 0 0
341 8576 -1 (0, 0) (0, 0) 0 0
341 10000 -1 (0, 0) (0, 0) 0 0
398 100 -1 (0, -1) (0, -1) 0 0
398 116 -1 (0, -1) (0, -1) 0 0
398 135 -1 (0, -1) (0, -1) 0 0
398 158 -1 (0, -1) (0, -1) 0 0
398 184 -1 (0, -1) (0, -1) 0 0
398 215 -1 (0, -1) (0, -1) 0 0
398 251 -1 (0, -1) (0, -1) 0 0
398 292 -1 (0, -1) (0, -1) 0 0
398 341 -1 (0, -1) (0, -1) 0 0
398 398 -1 (0, -1) (0, -1) 0 0
398 464 -1 (0, 0) (0, 0) 0 0
398 541 1 (1, 0) (0, 0) 0 0
398 630 1 (1, 0) (0, 0) 0 0
398 735 1 (1, 0) (0, 0) 0 0
398 857 1 (1, 0) (0, 0) 0 0
398 1000 1 (1, 0) (0, 0) 0 0
398 1165 1 (1, 0) (0, 0) 0 0
398 1359 -1 (0, 0) (0, 0) 0 0
398 1584 -1 (0, 0) (0, 0) 0 0
398 1847 -1 (0, 0) (0, 0) 0 0
398 2154 -1 (0, 0) (0, 0) 0 0
398 2511 -1 (0, 0) (0, 0) 0 0
398 2928 -1 (0, 0) (0, 0) 0 0
398 3414 -1 (0, 0) (0, 0) 0 0
398 3981 -1 (0, 0) (0, 0) 0 0
398 4641 -1 (0, 0) (0, 0) 0 0
398 5411 -1 (0, 0) (0, 0) 0 0
398 6309 -1 (0, 0) (0, 0) 0 0
398 7356 -1 (0, 0) (0, 0) 0 0
398 8576 -1 (0, 0) (0, 0) 0 0
398 10000 -1 (0, 0) (0, 0) 0 0
464 100 -1 (0, -1) (0, -1) 0 0
464 116 -1 (0, -1) (0, -1) 0 0
464 135 -1 (0, -1) (0, -1) 0 0
464 158 -1 (0, -1) (0, -1) 0 0
464 184 -1 (0, -1) (0, -1) 0 0
464 215 -1 (0, -1) (0, -1) 0 0
464 251 -1 (0, -1) (0, -1) 0 0
464 292 -1 (0, -1) (0, -1) 0 0
464 341 -1 (0, -1) (0, -1) 0 0
464 398 -1 (0, -1) (0, -1) 0 0
464 464 -1 (0, -1) (0, -1) 0 0
464 541 -1 (0, 0) (0, 0) 0 0
464 630 1 (1, 0) (0, 0) 0 0
464 735 1 (1, 0) (0, 0) 0 0
464 857 1 (1, 0) (0, 0) 0 0
464 1000 1 (1, 0) (0, 0) 0 0
464 1165 1 (1, 0) (0, 0) 0 0
464 1359 -1 (0, 0) (0, 0) 0 0
464 1584 -1 (0, 0) (0, 0) 0 0
464 1847 -1 (0, 0) (0, 0) 0 0
464 2154 -1 (0, 0) (0, 0) 0 0
464 2511 -1 (0, 0) (0, 0) 0 0
464 2928 -1 (0, 0) (0, 0) 0 0
